name,other_names,official_no,type_at_loss,build_info,specs,date_of_loss,place_of_loss,lake,type_of_loss,loss_of_life_original,loss_of_life,carrying,detail,sources,media_notes,source_page,latitude,longitude,coord_confidence
AGNES,none,203484,"gas screw, wood, passenger ves.","1906, Frankfort, Mich","26x9x3, 7g 6n","1912, Oct 7","at Arcadia, Mich",Michigan,foundered,none of 7,none,?,"No detail. Homeport: Grand Haven, Mich","mv,hr,wl",,a,43.371551,-86.462292,estimated_from_place_text_lake_corrected
AGNES W,built as ROSWELL P. FLOWER renamed in 1915,110724,"propeller, wood, bulk freight","1887, Wolf & Davidson, Milwaukee",264x38x18 1593g 1165n,"1918, Jul 12","Canada Point, Drummond Isl.",Huron,storm,none of 20,none,grain,"Stranded while attempting to enter the St. Mary’s R. in a storm. Later pounded to pieces. Owned by D. W. Stocking. Also wrecked on a reef near Waugoschance Pt., western Straits of Mackinac, 1892.","eas,slh,ns2,mv,mpl,hcgl,svb",,a,43.814181,-81.795012,estimated_from_place_text_lake_corrected
AHNAPEE,none,1549,"scow-schooner, wood, 2-mast","1867, Neal McLean, Ahnapee (Wolf R.) WI","71x21x6, 118g","1884, Jun 9","2.5 mi N. of Sheboygan, WI",Michigan,stranded,none of 5,none,RR ties and cordwood.,"Bound Torch Lake, MI, for Milwaukee, she stranded in fog on North Point. A later strong wind blew her into the rocks, where the bottom was pounded out of her hull. Part of her cargo was all that was saved. Owned by Capt. Fehrenkemp, Milwaukee. Rebuilt amd lenghtened in 1876","h,is,usls,mpl,bb,nsp,hr",,a,43.312568,-86.603653,estimated_from_place_text_lake_corrected
AHTEEK,"built as tug ALBERT WRIGHT, renamed in 1904",C77915,"propeller steam tug, wood","1873, H. Hackey, Port Hope, Ont.","57x13x8, 29g 21n","1911, Nov 22","near Bamford Light, St. Joseph Channel",Huron,fire,?,none,none,"Totally destroyed by fire at Richard’s Landing. Out of Sault Ste. Marie, Ont.","win,mmgl",,a,44.799103,-82.328922,estimated_from_place_text
AIMEE,"also seen as AIMIE, AIME",(105856),"(propeller) tug, wood","(1879, Ahnapee, Wis)",10t,"1880, Nov 20",off Thunder Bay Island,Huron,storm,none,none,light station supplies and a pet deer on its way to President-elect Garfield in Ohio.,"Stranded and destroyed by waves. She had earlier taken a load of lumber camp supplies to Thunder Bay Isl., but was unable to return because of ice and damage to her rudder from ice. Later broke her moorings, drifted away and was wrecked. The usls report is long and detailed. Owned by Thunder Bay Boom Co. Master: Capt. Howe.","h,nsp,usls,rep,hr,rs",,a,44.562599,-82.57785,estimated_from_place_text
ADAM AINSLIE,"built as RICHARD S. KING, renamed in 1892. also seen as ADAM AINSLEY",C94765 (see below),"propeller tug, wood","1883, Wm. Ross, Port Robinson, Ont","70x16x9, 59gc 40nc","1898, Aug","South Bay, Ont",Huron,fire,none mentioned,none,none,"Caught fire and burned to a total loss of about $10,000. Owned by Rixon, Ainslie and Stoddart Lumber. She was rebuilt and enlarged by Simpson at Owen Sound in 1892. She was renumbered at that time as well. Originally C#84421, 60×17 ft., 58 t..","jh,mmgl,csv,polk,hr",,a,44.445,-81.957,geocoded_direct_lake_corrected
ISABELLA AINSLIE,,C,"schooner, wood",?,?,"1861, Dec 28","7 mi N of Limestone Islands, Georgian Bay",Huron,storm,none,none,lumber,"Partially capsized and driven ashore on a rocky reef. Some hope was entertained that she would be released the following spring. Her skipper asked that the bay where the boat went ashore be renamed “St. Margaret’s Bay” in honor of his cool-headed wife, who was aboard at the time. Out of Leith, Ont. [near Owen Sound]. Master: Capt. Whittey.","nsp,rnc,wmn",,a,43.843559,-81.883596,estimated_from_place_text_lake_corrected
AINSWORTH,none,US none,"schoooner, wood","1835, Cape Vincent, NY",110 t.,"1846, Nov 20","off Fort Ontario, Oswego, NY",Ontario,storm,none,none,salt,"She was blown from the West Pier where she was lying awaiting weather and was dismasted and thrown on her beam ends on the rocks near Ft. Ontario. Her crew were rescued by the next day by members of the Revenue Cutter Service in the yawl from their cutter. Out of Cleveland. Maybe H. AINSWORTH built 1842, Luther Moses, Cleveland. If so, she was recovered.","nsp,rp,hgl,wmhs",,a,43.490018,-77.233453,estimated_from_place_text_lake_corrected
AJAX,none,1124,"sidewheel tug, wood","1865, Florence, MI*","107x28x5, 95 t","1872, Aug 9",Saginaw Bay,Huron,fire,none,none,none,"Burned near Bay City on Saginaw Bay. Registered out of Bay City *maybe built in 1855 at Green Bay, just rebuilt in 1865","slh,nsp,lhl,hgl,hr",,a,43.960283,-81.874347,estimated_from_place_text_lake_corrected
H.C. AKELEY,also spelled “Ackley” and “Ackeley” in reports,95639,"propeller, wood, bulk freight","1881, Kirby & Akeley, Grand Haven, MI","230x35x20, 1187g 794n","1883, Nov 13","Off Holland, MI",Michigan,storm,6,6,corn,"Bound Chicago for Buffalo, she took the disabled tug PROTECTOR (qv) in tow in a heavy gale, but let her go after her rudder broke off. She came to anchor but fell into the troughs of the waves and began to sink. The disabled schooner DRIVER happened by and saved 12 of her crew who had taken to her yawl just before she went down. Master: Capt. Edw. Strech(d).","sol,h,sm,nsp,g8s,sound,hgl,usls, mpl,m&h,bcha,hcgl,mh",,a,43.654851,-86.448616,estimated_from_place_text_lake_corrected
ALABAMA,none,none,"schooner, wood","1834, Sackett’s Harbor, NY",92 g,"1843, Oct 17","at Fairport, OH",Erie,storm,none?,none,wheat,Collided with the pier at the mouth of the Grand River and a total loss.,"hgl,nsp,wmhs",,a,42.740002,-79.677307,estimated_from_place_text_lake_corrected
ALABAMA,none,none,"sidewheel steamer, wood, passenger & package freight","1848, W. Gooding, Detroit, MI","234x29x12, 799 t.","1854, Aug 28","just outside the harbor at Buffalo, NY",Erie,hull failure,none,none,light,"Sank from a leak which developed just after she left her dock at Buffalo, bound up the lake for repairs. She went down right in the channel. The tug HAMILTON MORTON took her crew off. Her hull was reported to be very rotten. In early September the Navy iron steamer MICHIGAN tried unsuccessfully to tow her out of the way, and late in the same month the schooner WATCHMAN [apparently lacking a good watchman] accidentally came upon the wreck and sailed right between her arches without damage. Dismantled where she lay until there was 30 feet of clear water over her in Sept & Oct of 1855, by I. Coffin of Buffalo. Owned out of Sandusky by Burton, Hall & Russell. Master: Capt. Thos. Jefferson Titus.","lhl,nsp,wl,eas,ewe",,a,41.583934,-82.162968,estimated_from_place_text
ALASKA,"built as ACORN, renamed in 1883",356,"schooner, wood","1863, A. Muir, Port Dalhousie, Ont. as a bark","125x26x10, 316g 303n","1884, Sep 18","Scott’s Point, 20 miles north of Beaver Island Straits of Mackinac*",Huron,storm,none,none,iron ore,"Outbound from Escanaba, she w ent aground and broke up in a southerly gale. She soon broke up, despite the efforts of the wrecker LEVIATHAN. Out of Port Huron, owned by Arch Muir. Had another serious accident in August of the same year at Bois Blanc Isl. Straits of Mackinac Probably sold American in 1882","mv,polk,slh,phr,rsl,hr, mr",,a,43.790538,-81.805286,estimated_from_place_text_lake_corrected
ALASKA,none,C117174,"propeller, wood, bulk freight","1878, J.P. Clark, Springwells [Detroit], MI [US#105798]",165x29x11 511gc 361nc,"1910, Dec 24","a few miles from Tobermorey, Ont.",Huron,fire,none mentioned,none,lumber,"Sheltering from a storm, she caught fire from an overheated boiler and burned to a total loss. Sold Canadian 1906. Out of Windsor, owned by Williscroft & Pulling. Built as a sidewheel passenger vessel of 510 t., converted to a barge in 1889 after a fire at Detroit, converted to a propeller bulk freighter in 1895. In the 1889 rebuild her sidewheel engine, which originally came from the U. S. Revenue Cutter JOHN SHERMAN of 1864, went into the steamer FRANK E. KIRBY [see DOVER]","win,h,mv,mmgl,win,hdm,ns2, slh,mpl,es3-2,hcgl,dr",,a,45.25,-81.67,geocoded_near_at
ALBACORE,none,C74380,"schooner, wood, 2-mast, package & bulk frt","1872, Muir Bros., Port Dalhousie, Ont.","137x26x11, 327 t","1900, Sep 12","just east of Oswego, NY*",Ontario,storm,none of 7,none,?,"A storm blew out her sails & drove her into the seawall at Ft. Bank, where she broke up. Tug J. NAVAGH tried to save her, and Lifesaving Service crew rescued her people. Owned by Capt. Bradshaw of Toronto. *newspapers are divided as to whether the wreck occurred at Oswego or at Kingston, Ont. Sister of ALBATROSS(qv)[C75633] – both were known as “timber droughers,” built to haul large squared timbers.","nsp,ns1,is,mmgl,tfgl,osdo,mpl, hcgl",,a,43.561103,-77.17896,estimated_from_place_text_lake_corrected
ALBANY,?,none,"brig, wood","(1835, Oswego, NY)",(110 t.),"1843, Oct 1","Straits of Mackinac, a few miles from Mackinaw City",Huron/Mich,storm,?,none,"merchandise, passengers",She went aground and was wrecked in a gale.,"slh,nsp,hgl,rp not in mmgl",,a,46.396759,-84.762705,geocoded_direct_lake_corrected
ALBANY,none,none,"sidewheel steamer, wood, passenger/package freight","1846, C. Worth, Detroit","202x29x12, 669 t","1853, Nov 26","near Presque Isle, MI",Huron,storm,none,none,"passengers,misc cargo","Making for the shelter of Presque Isle harbor, she was driven over a bar by a tremendous gale. Plans were made to haul her back across, but she was destroyed by another storm before they could be realized. 200 passengers & crew came ashore in her boats. Bound Soo to Detroit. Propeller NIAGARA also reported to have helped rescue her people. Master: Capt. Jones. Her boiler and most of her machinery was recovered in Nov, 1854.","nsp,slh,is(2-60),lc,lhl,eas,hgl",,a,43.847409,-82.581866,estimated_from_place_text
ALBANY,none,106306,"propeller, steel, package freight","1884, Detroit Dry Dock, Wyandotte hull# 69",267x39x18 1918g 1678n,"1893, Nov 7","A few miles off Pte Aux Barques, MI",Huron,Collision,8,8,grain(?),"Collided with iron package freighter PHILADELPHIA(qv) in a thick fog. There was some evidence that both vessels were going too fast for conditions, though each blamed the other. PHILADELPHIA took ALBANY in tow to try and save her, but she sank well offshore. Her crew transferred to PHILADELPHIA, which was soon abandoned to sink in her turn. The casualties of the ALBANY were lost when one of her lifeboats mysteriously failed to make it to shore in calm weather. It is speculated that the abandoned PHILADELPHIA, still underway, circled and ran their boat down in the fog. Master; Capt. A. J. McDonald. Owned by Western Transportation Co., Buffalo. Ashore with heavy damage near Cheboygan, MI 11/20/1887.","nsp,slh,lm,sol,h,mv,lhdc,atl,wb, hgl,mpl,m&h,hcgl, mr",,a,44.297916,-82.810418,estimated_from_place_text_lake_corrected
ALBATROS IV,?,C190377,tug or yacht,?,16t,"1953, Aug 22",Toronto Harbour,Ontario,fire,?,none,?,"Brief report, no detail","win,h not in mmgl",,a,43.533665,-77.340182,estimated_from_place_text_lake_corrected
ALBATROSS,none,Can.,"schooner, wood, 2-mast","1867, H. Cronkite, Oakville, Ont.","92x21x9, 143 t.","1880, Nov 7","near Wellington, Ont.",Ontario,storm,none mentioned,none,"shingles, lumber","Bound Port Hope, Ont., to Oswego, her rigging and rudder were damaged by weather and she went ashore. ALBATROSS’ rigging was coated with an estimated 150 t. of ice. A few days later her deckload and part of her belowdecks cargo was removed by the CHIEFTAIN and the vessel was abandoned. Owned by T. Hyden, Port Hope.","mmgl ,jm,nsp",,a,43.607535,-77.170208,exact_lake_corrected
ALBATROSS,none,C75633,"schooner-barge, wood, bulk freight","1871, A. Muir, Pt. Dalhousie as 2-mast schooner","137x26x12, 317 t.","1911, Aug 21",Georgian Bay,Huron,storm,none,none,light,"Tow of tug C.C. MARTIN(qv), she took water and sank in storm. 2 men, 3 women and 2 children survived in an open yawl for 36 hours before coming ashore near Byng Inlet. The vessel hailed from Midland, Ont and was owned by Midland Towing Co. The tug was also lost, and may have been dragged down when schooner sank. Bound Penetang for French R. Master: Capt. Dean. Major repair in 1878 after going ashore on Middle Island, L. Huron, the previous fall.. May have been enlarged later.","nsp,ns2,mmgl,svb",,a,45.51555,-81.070277,exact
ALBEMARLE,none,1730,"schooner, wood, 3-mast","1867, C. Bidwell, Buffalo","154 ft, 413gt","1867, Nov 6","Pt. Nipigon, Straits of Mackinac",Huron,storm,none,none,iron ore,"Stranded and wrecked. Bound Escanaba for Cleveland. A tug that was sent to rescue her a few days after the accident found her in a hopeless condition, but wreckers continued to work on her until she was finally abandoned in August of the following year. Owned by Winslow Bros., Buffalo.","ssm,slh,dm,hgl,nsp",,a,44.877396,-83.163421,geocoded_direct_lake_corrected
ALBERTA,none – nicknamed “BERTIE”,C85765,"propeller steamer, steel, passenger/package freight","1883, McConnell & Co., Whiteinch[Glasgow], Scotland","264x38x23, 2282gc 1551nc","1884, Jul 27",3.5 mi from Whitefish Point,Superior,collision,1,1,"Passengers, misc frt","Collided with steambarge JOHN M. OSBORNE(qv) and sank in shallow water. Single casualty was lost in attempt to rescue crewmen from sinking OSBORNE. The collision occurred in fog. She was recovered soon after. This was ALBERTA’s 1st year and she was sister of the ill-fated ALGOMA(qv), lost HER 1st year of service. Collided with and damaged by the propeller PACIFIC in the St. Mary’s River earlier the same month. Rebuilt, 1911. Broken up in 1947.","mmgl,gsgl,mol,hgl,mpl,hcgl",Image from GLMD,a,46.633726,-87.018631,estimated_from_place_text_lake_corrected
ALBERTA,none,C103648,"propeller, wood, bulk freight “rabbit”","1886, G. Hinckley, Cape Vincent, NY, as a schooner (US#106355)",103x18x7 122gc 88nc,"1902, Oct 8","between Belleville and Trenton, Ont.",Ontario,fire,none,none,light,"Burned to a total loss while enroute to Belleville. Her crew barely escaped with their lives. Owned by Capt. and Amanda Smith, Belleville. Converted to a steamer and lengthened at Oswego in 1889 Sold Canadian in 1898","mmgl,win,is,ns1,csv,svb,jb",,a,43.539603,-77.238229,geocoded_between_lake_corrected
ALBERTA,none,C88247,"centerwheel paddle tug, wood","1888, W. Evans, Deseronto, Ont.","65x30x4, 68gc 62nc","1899, Jul 21","Pymer’s Point, Bay of Quinte",Ontario,“sunk”,?,none,?,"Reportedly sunk in 75 feet of water, but the wreck identified as her lies in 110 feet of water. She was a twin-engined sidewheeler. Her engines have been recovered.","mmgl,tr",,a,43.481143,-77.312669,estimated_from_place_text_lake_corrected
ALBERTA,none,C122177,"propeller, wood (tug)","1907, Rossport, Ont.","30x10x4, 7g 5n","1917, Nov 22","Thunder Bay, Ont.",Superior,(storm),none,none,4-5 tons herring,Foundered Registered out of Port Arthur,"mmgl,win,rf",,a,46.699863,-85.953351,geocoded_direct_lake_corrected
ALBION,,none,"schooner, wood","1848, Doolittle and Mollison, Oswego, NY","115x21x9, 215 t.","1858, Oct 8","12 mi N by E from Erie, PA. light, 12 mi out",Erie,storm,8 [all],8,wheat,"The eerie remains of this schooner were discovered by a party of fishermen Oct 14, with the topmasts just below the surface and sails still set, in 75 feet of water. Several detailed descriptions of the wreck were printed in the papers, but it was almost two weeks before she was identified. She apparently went down quickly in a gale on the date shown. Out of Oswego. Master: Capt. Love(d). Ashore at Oak Orchard, NY, in late Nov of 1855.","nsp,hgl,wmhs,rp",,a,42.07236,-81.624257,estimated_from_place_text_lake_corrected
ALBION,built as BRISTOL renamed in 1876,C73960,"propeller, wood, bulk freight “steambarge”","1862, Wm. Saunders, Brockville, Ont.",134x26x11 297g,"1887, Oct 3","near Pte Aux Barques, MI",Huron,fog/storm,none,none,lumber,"She went on the rocks NE of Grindstone City and stranded at night in a foggy westerly gale. Towing the schooner ARK. The USLS from Pte Aux Barques rescued her crew and saved some of her gear and cargo. She became a total wreck the next day, but ARK survived. Out of St. Catharines, Ont. Owner: Muir Assigned her first official number when rebuilt [by Muir] at Port Dalhousie after a 10/1875 fire.","nsp,slh,h,lhdc,csv,eas,mmgl,wb,win,polk,hgl,sb, usls,wl,mr",,a,44.27742,-82.842991,estimated_from_place_text_lake_corrected
ALDEBARAN,none,312,"schooner, wood","1852, Ketchum, Huron, OH",251 t.,"1876, Oct 2","near Amherstburg, Ont.",Erie,storm,none,none,RR ties,"While loading RR ties at Coatsworth’s dock, she was torn loose by a gale and driven ashore about 200 yards west of the dock. Despite the efforts of the Buffalo tug H. G. NOLTON, she broke up and became a total wreck in a sou’wester which blew up Oct 5. Out of Buffalo. Major repairs in 1869 after sinking off Pointe aux Barques in the fall of ’68.","es,wl,nsp,wmn",,a,42.19,-81.21,geocoded_near_at_lake_corrected
